,country,year,total,sex,suicides_no,population
454,Argentina,2000,2525.1999999999994,female,21,3396135
455,Argentina,2000,2525.1999999999994,male,18,3502413
456,Argentina,2001,2525.1999999999994,male,250,547473
457,Argentina,2001,2525.1999999999994,male,659,2358654
458,Argentina,2001,2525.1999999999994,male,518,3325440
459,Argentina,2001,2525.1999999999994,male,625,4145861
460,Argentina,2001,2525.1999999999994,male,375,2675285
461,Argentina,2001,2525.1999999999994,female,57,978346
462,Argentina,2001,2525.1999999999994,female,166,3262682
463,Argentina,2001,2525.1999999999994,female,137,2788628
464,Argentina,2001,2525.1999999999994,female,210,4306817
465,Argentina,2001,2525.1999999999994,female,82,2690206
466,Argentina,2001,2525.1999999999994,male,29,3519935
467,Argentina,2001,2525.1999999999994,female,24,3411619
468,Argentina,2002,2525.1999999999994,male,234,566447
469,Argentina,2002,2525.1999999999994,male,615,2387478
470,Argentina,2002,2525.1999999999994,male,542,3331708
471,Argentina,2002,2525.1999999999994,male,412,2758283
472,Argentina,2002,2525.1999999999994,male,619,4191889
473,Argentina,2002,2525.1999999999994,female,179,2819507
474,Argentina,2002,2525.1999999999994,female,58,1012399
475,Argentina,2002,2525.1999999999994,female,158,3263542
476,Argentina,2002,2525.1999999999994,female,194,4355651
477,Argentina,2002,2525.1999999999994,female,91,2772560
478,Argentina,2002,2525.1999999999994,male,37,3529201
479,Argentina,2002,2525.1999999999994,female,23,3418842
480,Argentina,2003,2525.1999999999994,male,272,581842
481,Argentina,2003,2525.1999999999994,male,577,2420864
482,Argentina,2003,2525.1999999999994,male,638,3331226
483,Argentina,2003,2525.1999999999994,male,456,2845955
484,Argentina,2003,2525.1999999999994,male,625,4237124
485,Argentina,2003,2525.1999999999994,female,68,1044188
486,Argentina,2003,2525.1999999999994,female,179,3258029
487,Argentina,2003,2525.1999999999994,female,147,2854473
488,Argentina,2003,2525.1999999999994,female,196,4402438
489,Argentina,2003,2525.1999999999994,female,69,2859003
490,Argentina,2003,2525.1999999999994,male,37,3531507
491,Argentina,2003,2525.1999999999994,female,25,3419258
492,Argentina,2004,2525.1999999999994,male,227,593409
493,Argentina,2004,2525.1999999999994,male,500,2459960
494,Argentina,2004,2525.1999999999994,male,653,3333328
495,Argentina,2004,2525.1999999999994,male,445,2930079
496,Argentina,2004,2525.1999999999994,male,599,4284709
497,Argentina,2004,2525.1999999999994,female,159,3255244
498,Argentina,2004,2525.1999999999994,female,136,2895423
499,Argentina,2004,2525.1999999999994,female,50,1073648
500,Argentina,2004,2525.1999999999994,female,185,4450210
501,Argentina,2004,2525.1999999999994,female,99,2940630
502,Argentina,2004,2525.1999999999994,male,43,3530061
503,Argentina,2004,2525.1999999999994,female,25,3416244
504,Argentina,2005,2525.1999999999994,male,225,601176
505,Argentina,2005,2525.1999999999994,male,489,2505136
506,Argentina,2005,2525.1999999999994,male,638,3343414
507,Argentina,2005,2525.1999999999994,male,451,3004991
508,Argentina,2005,2525.1999999999994,male,539,4336453
509,Argentina,2005,2525.1999999999994,female,161,2943135
510,Argentina,2005,2525.1999999999994,female,59,1101024
511,Argentina,2005,2525.1999999999994,female,148,3260468
512,Argentina,2005,2525.1999999999994,female,171,4500787
513,Argentina,2005,2525.1999999999994,female,104,3011376
514,Argentina,2005,2525.1999999999994,male,52,3528848
515,Argentina,2005,2525.1999999999994,female,21,3413809
516,Argentina,2006,2525.1999999999994,male,246,620010
517,Argentina,2006,2525.1999999999994,male,656,3357424
518,Argentina,2006,2525.1999999999994,male,487,2540712
519,Argentina,2006,2525.1999999999994,male,483,3068991
520,Argentina,2006,2525.1999999999994,male,585,4383730
521,Argentina,2006,2525.1999999999994,female,175,3271703
522,Argentina,2006,2525.1999999999994,female,115,2983954
523,Argentina,2006,2525.1999999999994,female,160,4549471
524,Argentina,2006,2525.1999999999994,female,105,3070419
525,Argentina,2006,2525.1999999999994,female,31,1132977
526,Argentina,2006,2525.1999999999994,male,39,3527369
527,Argentina,2006,2525.1999999999994,female,26,3412126
528,Argentina,2007,2525.1999999999994,male,225,634995
529,Argentina,2007,2525.1999999999994,male,577,3381171
530,Argentina,2007,2525.1999999999994,male,438,2582754
531,Argentina,2007,2525.1999999999994,male,490,3125322
532,Argentina,2007,2525.1999999999994,male,571,4436541
533,Argentina,2007,2525.1999999999994,female,146,3292790
534,Argentina,2007,2525.1999999999994,female,126,3120162
535,Argentina,2007,2525.1999999999994,female,108,3033008
536,Argentina,2007,2525.1999999999994,female,155,4601874
537,Argentina,2007,2525.1999999999994,female,31,1161794
538,Argentina,2007,2525.1999999999994,male,45,3530454
539,Argentina,2007,2525.1999999999994,female,34,3414627
540,Argentina,2008,2525.1999999999994,male,208,646185
541,Argentina,2008,2525.1999999999994,male,625,3410092
542,Argentina,2008,2525.1999999999994,male,463,2630686
543,Argentina,2008,2525.1999999999994,male,531,3172743
544,Argentina,2008,2525.1999999999994,male,582,4496672
545,Argentina,2008,2525.1999999999994,female,180,3319037
546,Argentina,2008,2525.1999999999994,female,173,4660022
547,Argentina,2008,2525.1999999999994,female,108,3088727
548,Argentina,2008,2525.1999999999994,female,36,1188016
549,Argentina,2008,2525.1999999999994,female,94,3159967
550,Argentina,2008,2525.1999999999994,male,39,3539110
551,Argentina,2008,2525.1999999999994,female,20,3422263
552,Argentina,2009,2525.1999999999994,male,177,653486
553,Argentina,2009,2525.1999999999994,male,609,3436265
554,Argentina,2009,2525.1999999999994,male,434,2683502
555,Argentina,2009,2525.1999999999994,male,504,3210244
556,Argentina,2009,2525.1999999999994,male,542,4566645
557,Argentina,2009,2525.1999999999994,female,164,3342385
558,Argentina,2009,2525.1999999999994,female,112,3148915
559,Argentina,2009,2525.1999999999994,female,105,3189773
560,Argentina,2009,2525.1999999999994,female,150,4726814
561,Argentina,2009,2525.1999999999994,female,25,1211934
562,Argentina,2009,2525.1999999999994,male,34,3553154
563,Argentina,2009,2525.1999999999994,female,28,3434884
564,Argentina,2010,2525.1999999999994,male,206,657096
565,Argentina,2010,2525.1999999999994,male,683,3455127
566,Argentina,2010,2525.1999999999994,male,485,3237957
567,Argentina,2010,2525.1999999999994,male,397,2740656
568,Argentina,2010,2525.1999999999994,male,573,4648068
569,Argentina,2010,2525.1999999999994,female,150,3358103
570,Argentina,2010,2525.1999999999994,female,162,4804030
571,Argentina,2010,2525.1999999999994,female,101,3210247
572,Argentina,2010,2525.1999999999994,female,99,3212253
573,Argentina,2010,2525.1999999999994,female,34,1234182
574,Argentina,2010,2525.1999999999994,male,33,3570316
